"~id","~start_node_id","~end_node_id","~relationship_type"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:1152922604118474856","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:104","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:123","DESARROLLADO_POR"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:1152922604118474857","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:105","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:124","DESARROLLADO_POR"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:1152922604118474858","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:106","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:125","DESARROLLADO_POR"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:1152922604118474859","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:107","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:126","DESARROLLADO_POR"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:1152922604118474860","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:108","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:127","DESARROLLADO_POR"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:6917529027641081856","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:88","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:0","PERTENECE_A"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:6919780827454767104","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:91","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:0","PERTENECE_A"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:6922032627268452352","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:93","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:0","PERTENECE_A"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:6924284427082137600","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:96","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:0","PERTENECE_A"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:6926536226895822848","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:97","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:0","PERTENECE_A"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:6928788026709508096","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:106","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:0","PERTENECE_A"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:6931039826523193344","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:108","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:0","PERTENECE_A"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:6917529027641081857","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:88","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:1","PERTENECE_A"
